StationID;TimeScan;Timeout;TimeScanFast;TimeoutFast;Address;DataType;BlockLength
96;5000;50000;5000;50000;200;10;8
96;5000;50000;5000;50000;216;10;3
96;5000;50000;5000;50000;220;10;1
96;5000;50000;5000;50000;336;10;2
97;5000;50000;5000;50000;200;10;8
97;5000;50000;5000;50000;216;10;3
97;5000;50000;5000;50000;220;10;1
97;5000;50000;5000;50000;336;10;2
98;1000;10000;1000;10000;100;10;23
95;5000;50000;1000;10000;400;10;25
95;5000;50000;1000;10000;436;10;2
95;5000;50000;1000;10000;428;10;3
95;5000;50000;1000;10000;460;10;6
95;5000;50000;1000;10000;490;10;6
94;1000;10000;1000;10000;197;10;1
94;1000;10000;1000;10000;200;10;1
94;1000;10000;1000;10000;3008;10;21
94;1000;10000;1000;10000;3030;10;1
94;1000;10000;1000;10000;3032;10;4
94;1000;10000;1000;10000;3038;10;1
94;1000;10000;1000;10000;3041;10;1
94;1000;10000;1000;10000;3044;10;1
94;1000;10000;1000;10000;3047;10;1
94;1000;10000;1000;10000;3050;10;5
94;1000;10000;1000;10000;3057;10;1
94;1000;10000;1000;10000;3064;10;3
94;1000;10000;1000;10000;3070;10;2
94;1000;10000;1000;10000;3077;10;19
94;1000;10000;1000;10000;3104;10;10
94;1000;10000;1000;10000;3120;10;6
94;1000;10000;1000;10000;3097;10;6
93;1000;10000;1000;10000;0;10;63
93;1000;10000;1000;10000;0;0;3
92;2000;20000;2000;20000;294;10;20
92;2000;20000;2000;20000;314;10;20
